racket_angle,traj_dir,spin_before_x,spin_before_y,spin_before_z,spin_after_x,spin_after_y,spin_after_z,v_in_x,v_in_y,v_in_z,v_out_x,v_out_y,v_out_z
0,037,-9.434493664678927,47.38113986297838,-8.118572567387291,-2.9895856025606284,11.726551116188938,18.711147125379448,0.21852913960144288,0.0,-4.8668876659507525,0.8281096216404433,0.0,3.831140916802982
0,251,-20.198905489714264,277.80092534015165,-17.778966834253627,1.9017171762409835,65.93322587975304,18.19372513695616,0.9547313636347947,0.0,-9.194967765631915,4.259725822738344,0.0,6.23182469715446
0,154,-20.406795953938175,332.64320105886054,-23.38375688367416,9.640009058621304,33.88418635762051,18.41257921242021,0.45509003055167657,0.0,-6.779288678391949,4.689420883758684,0.0,5.024855372220791
0,331,-6.818550432321363,201.75462776653876,-15.38957168265368,5.256605062321365,51.294345311624866,9.06448447709911,0.9187341668326728,0.0,-8.347218596598427,3.1544591148660555,0.0,6.109263966493125
0,003,18.70742160387945,-236.55336417827195,9.549954507791043,-11.600010987368073,39.23125092352322,11.49983542083425,0.18350146783958865,0.0,-4.27197926326284,-3.2866700260970005,0.0,3.589442489510097
0,048,-10.37460735608417,139.15483803768706,-5.438943539126816,2.691198012365179,49.291231294641946,17.155228174028093,0.9080996460395,0.0,-7.091433538654397,2.314016730960575,0.0,5.43758535622404
0,152,-28.7058440668312,303.0502135271123,-26.83221909147819,8.293039975171155,17.57511925350221,24.476183415971956,0.30180451230019234,0.0,-6.465790908498343,4.357731756874139,0.0,4.655483378307957
0,164,-53.37441481648897,585.3869746088347,-34.02868305224761,19.693142466457072,71.88759564019712,20.461507623617997,0.7367743137135155,0.0,-6.647087056005148,7.634076480920788,0.0,4.77668609131308
0,249,-21.47228597502166,265.46813045228964,-11.862292528032752,-3.2473199376766773,56.69364208722228,16.430827329027007,0.7402118985575069,0.0,-8.16422784280731,3.990166110298847,0.0,6.060901392118319
0,221,-1.4014428832498902,1.5955177222938794,4.640374785180616,-4.6392705397963985,34.4750119660881,12.592483048106017,0.5113929211976838,0.0,-8.12654925226029,0.278520322696461,0.0,6.217317877637179
0,262,-56.41412449751362,652.8901774297649,-22.312614290092053,2.6774375656480194,104.4000011059085,18.722964358235224,0.78016063438486,0.0,-7.411965812341749,8.092739322522542,0.0,5.282362715888244
0,341,-10.595079017159795,299.8064969838803,-21.433260166672156,11.34646560033639,78.4957656402856,16.837872926512766,0.9920977261453202,0.0,-9.197689568135248,4.4663739528143935,0.0,6.368564666796648
0,205,26.370730468305847,-235.7493637721662,18.96069928505918,-8.851279314175372,31.576828092712137,14.338854569034519,0.46443663493086274,0.0,-9.259262779287075,-2.894423515319491,0.0,6.699314522728148
0,322,-13.105516784333185,99.96845273546076,-2.6629399511376413,-6.589981744504297,48.014061358131684,20.35102612924894,0.7761713293709476,0.0,-8.152759694461379,1.8138111358783284,0.0,5.966082375204802
0,102,1.9852151635386892,-62.60331198838182,1.7667751826440723,-8.142070237748277,30.758811389063194,17.760712931855988,0.30445898330441096,0.0,-4.523180946470662,-0.8048269296148821,0.0,3.7080304247246265
0,107,9.493417526623894,-142.57530297591597,13.423475956427225,-11.276695827214185,42.213202911629196,9.773636547826458,0.43722553705726613,0.0,-7.011983448318787,-1.8741554709430397,0.0,5.322948132802334
0,100,3.7215391047441098,-55.03256605988102,-0.16021454836041452,-4.590454817820656,5.150737005099962,15.531880588723038,-0.15346244448715804,0.0,-3.751260730813793,-0.7747888202686958,0.0,3.1447332833585793
0,014,19.594047497708445,-212.56500207307545,13.260510796777096,-11.351208417660034,62.54000568377777,9.23252251466808,0.675583467395709,0.0,-5.543927692380674,-2.88203457027014,0.0,4.435503946884743
0,075,-41.67150593535132,380.5165276930066,-15.97163757759207,2.4149582559146805,52.74928250516577,14.333508146263334,0.7632439624570688,0.0,-7.436413628235613,5.47652781642975,0.0,5.485411607879533
0,134,-12.017384906992755,167.0602651810981,-16.959362586365142,5.651817080313909,14.677866365643704,17.090084199539564,0.36347997869002246,0.0,-5.266902910251799,2.592415290572115,0.0,4.147413652898609
0,002,20.78566301011134,-222.43315145652383,13.619867100349715,-14.182073885591779,32.4476280485018,7.334599866413563,0.09076514597848488,0.0,-3.874535568881596,-3.1071535449894414,0.0,3.3305160830545937
0,361,-33.52594624021723,737.2061799153204,-35.327256135391124,18.89172823079771,104.00772150968902,15.45658969290271,1.025807399146734,0.0,-7.545408667897056,9.580072221588832,0.0,5.503906706798323
0,229,-12.257091484321206,110.78561876919052,-4.9165595705107,-5.927491844458093,50.441708972490005,9.770534984000435,0.9098786713369703,0.0,-8.245053624531291,2.020735448825867,0.0,6.160173264944074
0,024,8.08728278382879,-124.5918576114024,13.577204135585266,-12.76428174955938,46.18737098967941,14.44471848019207,0.4757692944769936,0.0,-6.472502316217492,-1.626665634984692,0.0,4.978631995723584
0,166,-34.58522965766654,343.44354081504326,-28.642020926650947,14.798748191750915,-38.72729380104094,16.351178239623625,-0.48031423793921374,0.0,-4.087605280445657,4.920462535106449,0.0,3.165759656660121
0,105,4.011452095874344,-88.92569397550332,6.365572350587735,-11.249181302592314,44.25155486645973,16.33684869011947,0.5689010859368785,0.0,-5.841203824683452,-1.1212801056317605,0.0,4.564519531332163
0,136,-15.294754842560028,192.44454638128406,-12.094943746312504,1.4410979064963798,37.28212742784773,15.386018560265354,0.7976717920407704,0.0,-6.8089581308104705,3.0278171808885483,0.0,5.080142119152098
0,290,30.007347460146782,-282.0132736601617,28.454719710254327,-6.814412904045877,32.02721573773051,3.90070756281188,0.47612156596997995,0.0,-7.746426059921298,-3.518875177205514,0.0,5.600600900694927
0,339,-28.142161230874084,281.6361335555185,-8.084497008632217,-1.5345838494593214,61.90293409876316,5.922715956314119,1.0430909731114124,0.0,-7.843874387559137,4.317319087079473,0.0,5.860953150954716
0,081,-54.21885677021922,559.1889632752722,-28.3479626670372,9.082415209801619,64.43522031408692,23.583396514184656,0.9141881715324093,0.0,-6.418565484723595,7.880695957940391,0.0,4.3626471088694485
0,238,-19.863446179911886,194.28377126921723,-14.478286736049903,0.5933240740804366,46.05619175904652,17.63030833362422,0.8936598628038608,0.0,-8.03917437673512,3.0846435042656406,0.0,5.900014990873609
0,233,-7.0497365042153515,79.87337884561049,1.418500539197793,-4.596645292622021,39.277259117634706,11.824097036783487,0.6717566612169564,0.0,-9.560728372600868,1.4231538853784753,0.0,6.722549876630834
0,253,-38.49234971758765,373.3087514916279,-24.533121775556136,7.811118218238148,51.78278254392652,25.42151827830878,0.9846040852902954,0.0,-7.554409090973436,5.375530344604526,0.0,5.521909759892365
0,117,-2.0898898799552073,46.61459458288785,-8.39333998139604,0.5368360930021128,12.261484446699505,17.425908613158615,0.1835715101627425,0.0,-4.806475969841647,0.8571278134398421,0.0,3.890548744070142
0,323,-7.568699413889506,96.29898473776439,-1.821064673099038,0.4565755291162355,44.203664628448074,7.755047380241406,0.8137035350313809,0.0,-8.286737696928428,1.7020342496651226,0.0,6.13285238628745
0,212,5.738231162322537,-70.48980943348403,4.207222822005757,-5.551657079888085,62.30129380496858,9.729256402629611,0.8995980409547863,0.0,-8.447910328681374,-0.5831973783449184,0.0,6.257162557208217
0,032,4.797548350953415,12.732998273084338,-1.1702171612908654,-0.5460032792895667,52.34665661719234,13.76928000021582,0.8021935259749633,0.0,-6.891953929356975,0.5505686322231907,0.0,5.160011605983779
0,056,-14.463998645888093,210.68034609648,-13.683806293005137,4.387994701625282,46.75234611314576,19.955628115587164,1.014456662278283,0.0,-7.6307764456934635,3.2977378969463618,0.0,5.729216208448847
0,196,22.57622828628166,-291.5476677250087,29.88878030024962,-16.287247541420108,47.72474684871406,5.817457268641907,0.5098287982107638,0.0,-7.167050064881804,-3.7526780204473287,0.0,5.29615311032834
0,129,-9.365290122425307,135.41931927974255,-4.4643414875643685,-1.7630985355886777,46.80142034546668,16.98822562510358,0.9068923968827953,0.0,-7.339414300471082,2.2122184242795013,0.0,5.359298605998107
0,275,24.10122412531942,-343.7229924460358,24.716272978607446,-21.176972931053484,57.60759826985874,11.023441874579543,0.5895971119154856,0.0,-6.120292829935588,-4.414759752454441,0.0,4.8838086847473425
0,305,3.007005752799356,-84.99341600898089,16.85172715891602,-13.82892988555232,60.31474073116245,5.512189215782975,0.8636978612284452,0.0,-8.490764803442339,-0.7848749963534213,0.0,6.1563542888027865
0,155,-25.956438608133187,348.5774726075179,-25.64737201924,10.62946856844936,39.83369736005438,18.787819016480743,0.4077917400816431,0.0,-7.204771944477026,4.952675827065698,0.0,5.089172926539365
0,327,-8.104147645776,56.50901535246402,3.6593496873817286,-7.469399885368137,49.75161501952829,11.119299959258953,0.638974622149486,0.0,-9.485433900212751,1.215415497248511,0.0,6.552693079224654
0,022,3.0048192655664683,-72.31164768868607,4.286096439008559,-10.11691252435754,37.058136055181315,16.724162563358618,0.3357052246119691,0.0,-4.916244060367902,-0.9513335307929283,0.0,3.9373703772740067
0,350,-27.431605051220867,409.4365839453174,-27.193017732580458,5.397446475168173,66.64367628910203,21.363311307574396,0.9672957289510529,0.0,-8.050196303293564,5.685843636478272,0.0,5.968823193233273
0,218,7.978200622913279,-184.1409644842762,26.701502384373505,-13.46322641376778,29.61930851224037,16.321126651860727,0.30560434879053683,0.0,-9.617781321792476,-2.20871638051408,0.0,7.3568628923827575
0,125,-9.476853427102697,92.49499690648125,-16.08634994119211,3.6110323591361033,-6.824223962619304,18.826252181109215,0.028574790322494062,0.0,-4.565798502695379,1.4397150600540625,0.0,3.6188238799787875
0,093,8.94181398106993,-153.36815733708562,6.730337046494396,-11.382566928036345,29.975795497031218,15.68543851364029,0.17146223224618737,0.0,-4.0530450181891595,-2.14660414925225,0.0,3.3711344632710145
0,260,-33.07550539876905,414.3427438238831,-41.36693447104055,8.693499253638775,74.06217794867658,15.4829175501586,0.9507686309677674,0.0,-8.007142914427329,5.869629170268089,0.0,5.904736505795133
0,122,-5.797172508530408,59.97813281250678,-0.9565531894094605,-3.77056475867814,46.673359965378786,15.430762082882017,0.8388904329094461,0.0,-7.016119773378151,1.1499215603192692,0.0,5.6480474067528625
0,078,-10.977194656708269,417.71797423614424,-41.20495904750269,21.537222743474153,20.20074658193491,9.615533126938594,0.04964084025874612,0.0,-4.794020508187223,5.559856295737437,0.0,3.7285613478962683
0,252,-25.317299806743485,290.3056268632188,-19.254677141345315,-0.47614856885025136,61.99621159407202,17.108634597468154,1.072662730157142,0.0,-8.763532881284402,4.183179086908928,0.0,6.43950470786111
0,291,20.12637100461577,-316.37346596255435,34.226476268621724,-13.77560563959567,25.947701997715686,12.021229771544162,0.15349278121122703,0.0,-7.422929807574771,-4.120608527132997,0.0,5.765642455740294
0,162,-42.74605707911673,525.6525309849407,-27.890323606601992,-3.329938193156438,78.9369149872711,7.804108070170722,0.4575513395993543,0.0,-6.2927695908302175,6.467838299335215,0.0,4.633520963931378
0,215,7.234306904147607,-115.2522588553156,15.24351648542535,-10.587554602590311,46.935649217290205,9.43309553794263,0.8027947677661207,0.0,-9.550808247502339,-1.2335632443862876,0.0,6.735988925892258
0,008,24.670048209270963,-316.55007804817654,25.97071624087283,-16.17589194957102,58.534894139913455,14.614102387601426,0.5223004848524255,0.0,-5.91617851078022,-4.333237687081188,0.0,4.587083305729923
0,198,39.34236854968494,-293.36356512195016,31.550286108938277,-7.213640475771698,37.444072021867356,9.455070481168098,0.3526988761000001,0.0,-7.512108763625983,-3.900837083287735,0.0,5.659993755351013
